iIdConsultorio,CodReferencia,iidproducto,Cantidad,CantidadUsada
2,973,927,21,21
2,973,931,4,4
2,973,1006,0,0
2,973,1451,0,0
3,882,487,359,484
3,882,1475,0,0
3,882,1477,0,0
16,621,45,14,15
16,621,118,18,7
16,621,120,1,4
16,621,14,2731,996
16,621,20,27,39
16,621,490,0,0
16,621,535,14,20
16,621,540,0,0
16,621,662,8,5
16,621,663,4,0
16,621,715,41,63
16,621,1096,175,55
16,621,1569,26,26
16,621,1451,4,7
16,621,1783,0,0
6,890,103,91,91
6,890,662,44,41
4,913,118,6,12
4,913,714,17,32
4,913,1139,23,41
5,877,72,55,76
5,877,102,829,847
5,877,118,42,81
5,877,120,19,16
5,877,540,0,0
18,154,103,35,33
18,154,662,62,48
18,154,1569,43,33
6,895,38,117,78
6,895,260,36,36
6,895,533,0,0
6,895,540,0,0
16,628,540,0,0
16,628,662,7,2
16,628,663,1108,194
2,976,154,0,0
2,976,540,0,0
2,976,565,0,0
2,976,1138,30,30
2,976,1139,3,3
2,976,1638,0,0
3,885,715,30,43
3,885,719,198,164
3,885,1220,0,0
3,885,1596,0,0
3,886,540,0,0
19,174,7,49,34
19,174,1476,0,0
19,174,1477,0,0
7,1004,90,0,0
3,888,1,0,0
3,888,497,1,1
3,888,714,8,8
3,888,870,0,0
3,888,1564,28,17
3,888,1569,40,29
3,888,1139,46,56
2,978,1,9,9
2,978,109,9,9
2,978,118,38,43
2,978,497,28,28
2,978,535,0,0
2,978,540,0,0
2,978,714,12,12
2,978,715,19,25
2,978,716,8,8
2,978,1451,12,13
19,176,497,37,64
19,176,534,0,0
19,176,535,20,4
19,176,540,0,0
19,176,714,4,20
19,176,716,727,98
19,176,870,168,129
18,157,534,0,0
18,157,535,18,15
18,157,540,5,5
5,881,41,7,7
5,881,497,12,39
5,881,534,0,0
5,881,535,2,4
5,881,540,0,0
5,881,733,317,146
5,881,690,10,8
4,917,1,2,2
4,917,109,24,24
4,917,497,28,40
4,917,534,17,2
4,917,535,0,0
4,917,540,0,0
4,917,715,15,29
4,917,716,6,10
4,917,1564,0,0
4,917,1451,9,20
16,630,1,20,29
16,630,41,18,18
16,630,109,8,1
16,630,120,9,6
16,630,6,74,52
16,630,7,63,71
16,630,15,68,86
16,630,534,1,0
16,630,535,4,6
16,630,540,0,0
16,630,662,34,35
16,630,714,1,2
16,630,1479,20,71
16,630,1783,11,18
6,898,535,37,50
2,981,109,38,38
2,981,534,0,0
2,981,535,0,0
2,981,540,0,0
2,981,870,4,1
2,981,1104,3,3
2,981,1564,1,1
2,981,1018,0,0
2,981,1638,2,2
19,178,72,142,242
19,178,109,1,0
19,178,7,554,282
19,178,15,405,200
19,178,21,323,73
19,178,497,129,164
19,178,535,24,5
19,178,540,0,0
19,178,714,144,386
19,178,982,623,217
19,178,1451,78,28
4,920,118,80,95
4,920,7,109,130
4,920,15,186,146
18,160,1283,14,14
3,890,109,14,8
3,890,15,176,227
3,890,497,5,4
3,891,535,4,3
16,633,497,19,30
16,633,534,1,0
16,633,535,48,48
16,633,540,0,0
16,633,714,79,162
16,633,1564,29,20
16,633,1451,3,3
6,901,260,22,21
6,901,534,0,0
6,901,540,0,0
6,901,662,17,23
5,885,41,3,3
5,885,497,30,59
5,885,534,0,0
5,885,535,2,2
5,885,540,0,0
5,885,1451,14,30
5,885,1781,137,29
19,180,41,2,2
19,180,118,37,11
19,180,142,710,25
19,180,383,199,210
19,180,384,1809,63
19,180,535,69,4
19,180,540,0,0
19,180,979,37,96
19,180,1783,991,150
2,984,14,391,46
2,984,534,0,0
2,984,535,0,0
2,984,540,0,0
2,984,594,1,1
2,984,662,1,1
18,163,103,17,22
18,163,534,0,0
18,163,540,3,3
4,922,33,0,0
4,922,497,23,26
4,922,535,0,0
4,922,1138,7,12
