iidGarantia,iidDetalle
274639,274546
274815,261971
274816,261972
274864,255257
275133,273459
275267,274368
275587,274434
275824,270594
275830,255342
275972,178545
275994,273387
276066,178789
276116,189285
276117,189550
276205,273578
276245,189297
276289,218726
276291,218986
276299,273847
276380,262845
276403,189193
276404,189297
276437,275738
276742,276707
276841,274098
276943,274622
277018,208833
277019,208872
277053,276120
277054,276143
277303,276482
277343,275267
277345,273706
277346,270360
277347,274578
277348,262460
277423,276671
277426,276755
277434,189404
277788,275812
277789,275813
278170,270360
278176,275698
278434,154874
278435,154874
278458,278443
278677,271589
278957,277343
279050,276753
279051,194829
279143,278562
279515,278501
279757,278988
279815,250210
279816,250211
279817,254463
279818,253011
279931,278936
279955,265480
279956,265481
279957,279956
279958,265482
279959,265483
279969,277714
279970,279969
279996,277764
279997,279996
279998,277845
279999,279998
280035,278961
280042,256324
280084,279642
280108,279516
280124,256332
280125,256625
280127,260710
280128,263704
280202,279013
280216,265486
280218,263112
280219,263113
280220,265489
280221,265490
280276,88567
280292,279366
280322,263704
280443,276222
280445,280168
280449,276222
280637,263756
280941,269632
280947,265640
281404,279328
281503,265495
281517,265492
281532,246443
281536,265496
281537,265497
281538,265498
281616,280941
281645,279747
281716,279861
281800,235786
281802,235790
281803,235791
281804,235793
281805,235996
281806,235997
281807,235998
281808,235999
281942,279583
281943,279584
281989,264504
282175,266048
282184,264646
282269,279089
282381,265242
282407,279835
282432,274252
282434,279910
282435,274252
282491,281954
282503,221591
282504,221839
282561,221958
282671,222180
282749,263453
283460,277415
283537,283301
284047,280805
284065,282978
284087,283992
284494,230719
284535,272851
284536,274068
284537,273781
284570,281410
284870,279764
285035,282681
285156,276984
285158,276985
285159,276986
285287,282701
285293,282927
285325,281708
285326,282033
285427,284447
285453,284456
285454,284449
285514,277362
285515,277363
285516,277364
285584,279923
285665,283346
285747,281679
285756,282927
285757,282928
285800,280345
286020,280415
286150,282928
286227,281218
286276,284103
286390,277688
286391,277689
286392,277691
286474,286445
286603,284247
286760,285718
286819,284910
286873,277005
287291,284535
287296,284536
287331,287310
287369,286626
287574,284047
287632,283902
287788,285319
287790,285320
287863,251417
288068,285919
288147,286082
288213,287758
288270,287946
288281,283983
288282,208422
288283,208422
288408,283052
288538,283343
288602,285494
289114,287404
289115,287405
289509,287599
