No#,DESCRIPCION ,DESCRIPCION EXTENDIDA,MARCA,MODELO,  No# SERIE,FAMILIA,COD CDA,FACTURA,PROVEEDOR,F# ADQ,V# ADQ,F# GT,UB,RESPONSABLE,EST
1218,54,PLASTICAS ROJAS,147,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1219,127,YESO (BLANCO-AZUL),25,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1220,54,CUADROS PARA BANDAS BLANCAS,176,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
973,50,METALICO,47,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
974,50,METALICO,166,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
975,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
976,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
977,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
978,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
979,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
980,206,METALICO,116,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
981,206,METALICO,116,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
982,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
983,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
984,206,METALICO,4,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
985,206,METALICO,4,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
986,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
987,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
989,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
990,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
991,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
992,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
993,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
994,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
995,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
996,150,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
997,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
998,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
999,150,METALICO,106,35,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1000,244,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1001,244,METALICO,112,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1002,244,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1003,244,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1004,244,METALICO,135,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1005,244,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1006,244,METALICO,135,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1007,244,METALICO,135,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1008,244,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1009,244,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1010,244,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1011,244,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1012,104,METALICO,111,88,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1013,104,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1014,104,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1015,104,METALICO,106,32,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1016,104,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1017,104,METALICO,106,26,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1018,104,METALICO,112,25,KP1075,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1019,107,METALICO,7,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1020,115,PLASTICO  ,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
1021,139,DE CEMENTO METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
