iIdBodega,iIdTipoMov,iIdMovimiento,iIdproducto,dCantidad,iIdBodegaSolicita,dCantidadAprobada,StockActual
1,1,595,181,3.0000,3,3.0000,17.00
1,1,595,115,5.0000,3,5.0000,7.00
1,1,885,4,5.0000,6,5.0000,6.00
1,1,885,3,3.0000,6,3.0000,20.00
1,1,885,51,4.0000,6,4.0000,5.00
1,1,886,160,3.0000,6,3.0000,1.00
1,1,886,164,3.0000,6,3.0000,6.00
1,1,886,136,1.0000,6,1.0000,3.00
1,1,17,229,10.0000,8,10.0000,30.00
1,1,596,164,3.0000,3,3.0000,3.00
1,1,596,192,1.0000,3,1.0000,4.00
1,1,596,122,2.0000,3,2.0000,0.00
1,1,183,185,10.0000,5,10.0000,44.00
1,1,597,68,1.0000,3,1.0000,3.00
1,1,597,192,1.0000,3,1.0000,3.00
1,1,598,176,4.0000,3,4.0000,22.00
1,1,184,240,200.0000,5,200.0000,0.00
1,1,185,46,1.0000,5,1.0000,3.00
1,1,599,164,3.0000,3,3.0000,0.00
1,1,600,176,4.0000,3,4.0000,18.00
1,1,600,175,1.0000,3,1.0000,1.00
1,1,600,170,5.0000,3,5.0000,20.00
1,1,601,228,10.0000,3,10.0000,0.00
1,1,887,51,14.0000,6,14.0000,0.00
1,1,887,168,15.0000,6,15.0000,17.00
1,1,887,186,10.0000,6,10.0000,0.00
1,1,887,31,1.0000,6,1.0000,1.00
1,1,887,33,1.0000,6,1.0000,0.00
1,1,887,25,1.0000,6,1.0000,6.00
1,1,887,14,3.0000,6,3.0000,0.00
1,1,888,167,3.0000,6,3.0000,16.00
1,1,602,192,1.0000,3,1.0000,2.00
1,1,602,122,2.0000,3,2.0000,4.00
1,1,602,136,1.0000,3,1.0000,2.00
1,1,889,3,4.0000,6,4.0000,16.00
1,1,889,4,4.0000,6,4.0000,2.00
1,1,890,167,2.0000,6,2.0000,14.00
1,1,890,188,1.0000,6,1.0000,0.00
1,1,603,176,3.0000,3,3.0000,0.00
1,1,891,2,5.0000,6,5.0000,19.00
1,1,891,3,5.0000,6,5.0000,11.00
1,1,892,167,2.0000,6,2.0000,12.00
1,1,604,176,3.0000,3,3.0000,15.00
1,1,604,232,250.0000,3,250.0000,0.00
1,1,605,68,1.0000,3,1.0000,2.00
1,1,606,201,1.0000,3,1.0000,0.00
1,1,606,176,3.0000,3,3.0000,12.00
1,1,893,27,1.0000,6,1.0000,0.00
1,1,893,2,3.0000,6,3.0000,11.00
1,1,893,3,3.0000,6,3.0000,3.00
1,1,893,4,2.0000,6,2.0000,0.00
1,1,24,167,2.0000,1,2.0000,0.00
1,1,186,235,6.0000,5,6.0000,896.00
1,1,186,234,6.0000,5,6.0000,23.00
1,1,186,233,6.0000,5,6.0000,11.00
1,1,894,3,5.0000,6,5.0000,0.00
1,1,894,2,5.0000,6,5.0000,6.00
1,1,895,167,3.0000,6,3.0000,7.00
1,1,607,242,5.0000,3,5.0000,73.00
1,1,607,192,1.0000,3,1.0000,1.00
1,1,607,68,1.0000,3,1.0000,1.00
1,1,608,176,4.0000,3,4.0000,8.00
1,1,896,168,5.0000,6,5.0000,0.00
1,1,896,51,10.0000,6,10.0000,0.00
1,1,896,3,3.0000,6,3.0000,0.00
1,1,896,2,5.0000,6,5.0000,0.00
1,1,896,4,5.0000,6,5.0000,0.00
1,1,897,167,3.0000,6,3.0000,4.00
1,1,609,242,2.0000,3,2.0000,71.00
1,1,610,176,2.0000,3,2.0000,6.00
1,1,610,199,1.0000,3,1.0000,1.00
1,1,611,192,1.0000,3,1.0000,0.00
1,1,611,242,4.0000,3,4.0000,67.00
1,1,612,176,2.0000,3,2.0000,4.00
1,1,187,46,1.0000,5,1.0000,2.00
