iiddocument,taxidemisor,tipo_doc,Talonario,NumFactura,documentno,tosend,fecha_emision,taxidreceptor
508,9.09807E+11,1,1130503926,34259,001-002-000000108,N,NULL,NULL
509,9.09807E+11,1,1130503926,34260,001-002-000000109,N,NULL,NULL
510,9.09807E+11,1,1130503926,34261,001-002-000000110,N,NULL,NULL
511,9.10436E+11,1,1130705549,32755,001-002-000000093,N,NULL,NULL
512,9.10436E+11,1,1130705549,32755,001-002-000000093,N,NULL,NULL
513,9.10436E+11,1,1130705549,32755,001-002-000000093,N,NULL,NULL
514,9.09807E+11,1,1130503926,34262,001-002-000000111,N,NULL,NULL
515,9.10436E+11,1,1130705549,32756,001-002-000000094,N,NULL,NULL
516,9.10436E+11,1,1130705549,32756,001-002-000000094,N,NULL,NULL
517,9.10436E+11,1,1130705549,32756,001-002-000000094,N,NULL,NULL
518,9.09807E+11,1,1130503926,34263,001-002-000000112,N,NULL,NULL
519,9.09807E+11,1,1130503926,34264,001-002-000000113,N,NULL,NULL
520,9.10436E+11,1,1130705549,32757,001-002-000000095,N,NULL,NULL
521,9.10436E+11,1,1130705549,32757,001-002-000000095,N,NULL,NULL
522,9.10436E+11,1,1130705549,32757,001-002-000000095,N,NULL,NULL
523,9.09807E+11,1,1130503926,34265,001-002-000000114,N,NULL,NULL
524,9.09807E+11,1,1130503926,34266,001-002-000000115,N,NULL,NULL
525,9.09807E+11,1,1130503926,34267,001-002-000000116,N,NULL,NULL
526,9.10436E+11,1,1130705549,32758,001-002-000000096,N,NULL,NULL
527,9.10436E+11,1,1130705549,32758,001-002-000000096,N,NULL,NULL
528,9.10436E+11,1,1130705549,32758,001-002-000000096,N,NULL,NULL
529,9.09807E+11,1,1130503926,34268,001-002-000000117,N,NULL,NULL
530,9.09807E+11,1,1130503926,34269,001-002-000000118,N,NULL,NULL
531,9.09807E+11,1,1130503926,34270,001-002-000000119,N,NULL,NULL
532,9.10436E+11,1,1130705549,32759,001-002-000000097,N,NULL,NULL
533,9.10436E+11,1,1130705549,32759,001-002-000000097,N,NULL,NULL
534,9.10436E+11,1,1130705549,32759,001-002-000000097,N,NULL,NULL
535,9.10436E+11,1,1130705549,32760,001-002-000000098,N,NULL,NULL
536,9.10436E+11,1,1130705549,32760,001-002-000000098,N,NULL,NULL
537,9.10436E+11,1,1130705549,32760,001-002-000000098,N,NULL,NULL
538,9.10436E+11,1,1130705549,32761,001-002-000000099,N,NULL,NULL
539,9.10436E+11,1,1130705549,32761,001-002-000000099,N,NULL,NULL
540,9.10436E+11,1,1130705549,32761,001-002-000000099,N,NULL,NULL
541,9.09807E+11,1,1130503926,34271,001-002-000000120,N,NULL,NULL
542,9.09807E+11,1,1130503926,34272,001-002-000000121,N,NULL,NULL
543,9.10436E+11,1,1130705549,32762,001-002-000000100,N,NULL,NULL
544,9.10436E+11,1,1130705549,32762,001-002-000000100,N,NULL,NULL
545,9.10436E+11,1,1130705549,32762,001-002-000000100,N,NULL,NULL
546,9.10436E+11,1,1130705549,32763,001-002-000000101,N,NULL,NULL
547,9.10436E+11,1,1130705549,32763,001-002-000000101,N,NULL,NULL
548,9.10436E+11,1,1130705549,32763,001-002-000000101,N,NULL,NULL
549,9.10436E+11,1,1130705549,32764,001-002-000000102,N,NULL,NULL
550,9.10436E+11,1,1130705549,32764,001-002-000000102,N,NULL,NULL
551,9.10436E+11,1,1130705549,32764,001-002-000000102,N,NULL,NULL
